tournament_name,start_date,end_date,center_name,center_location,pattern_name,pattern_length,pattern_volume,pattern_ratio,position,squad,name,hometown,score,average,+/-_200,match_play_record,points,earnings
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,1,A,T.J. Rock,"Las Vegas, Nev.",1648,235.43,248,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,2,A,Joshua Imhoff,"Little Rock, AR",1646,235.14,246,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,3,A,Matt Murtishaw,"Menifee, Calif.",1645,235.00,245,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,4,A,Tim Foy Jr.,"Seaford, Del.",1640,234.29,240,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,5,A,Nate Garcia,"Port St. Lucie, Fla.",1636,233.71,236,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,6,A,Cortez Schenck,"Phoenix, Ariz.",1630,232.86,230,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,6,A,Tyler Cortez Schenck,"Phoenix, Ariz.",1630,232.86,230,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,7,A,Tim Gruendler,"St. Louis, Mo.",1625,232.14,225,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,8,A,Austin Boulds,"Creal Springs, Ill.",1617,231.00,217,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,9,A,David Northouse,"Bryon Center, Mich.",1608,229.71,208,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,10,A,Spencer Robarge,"Springfield, Mo.",1596,228.00,196,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,11,A,"David ""Boog"" Krol","Nixa, Mo.",1595,227.86,195,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,12,A,Brian Robinson,"Morgantown, W. Va.",1588,226.86,188,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,13,A,Will Vidulich,"Budd Lake, N.J.",1588,226.86,188,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,14,A,Lyle Kuhlmann,"Woodruff, Wis.",1588,226.86,188,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,15,A,Bryan Bourget,"Woonsocket, R.I.",1579,225.57,179,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,16,A,Blake Demore,"Springfield, Mo.",1575,225.00,175,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,17,A,Ryan Barnes,"Denton, Texas",1563,223.29,163,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,18,A,Arnar Jonsson,Iceland,1556,222.29,156,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,19,A,David Haynes,Las Vegas,1553,221.86,153,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,20,A,Mike Eaton Jr.,"Byron Center, Mich.",1552,221.71,152,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,21,A,Carlos Granados,Venezuela,1549,221.29,149,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,22,A,Nate Stubler,"LaSalle, Ill.",1547,221.00,147,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,23,A,Brandon Bonta,Wichita,1544,220.57,144,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,24,A,Rafael Medina,Texas,1541,220.14,141,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,25,A,Kris Koeltzow,"Wheat  Ridge, Colo.",1533,219.00,133,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,26,A,Timmy Tan,Malaysia,1532,218.86,132,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,27,A,Pontus Andersson,Sweden,1529,218.43,129,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,28,A,Deeronn Booker,"Anaheim, Calif.",1521,217.29,121,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,29,A,Zach Weidman,"Indianapolis, Ind.",1513,216.14,113,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,30,A,Alex George,"Wichita, Kan.",1512,216.00,112,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,31,A,Samuel DeWitt III,"Pittsburgh, Pa.",1512,216.00,112,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,32,A,Dallas Leong,"Las Vegas, Nev.",1504,214.86,104,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,33,A,Zeke Bayt,"Westerville, Ohio",1497,213.86,97,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,34,A,Jaysion Anderson,"Las Vegas, NV",1491,213.00,91,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,35,A,Deo Benard,"Roanoke, Texas",1488,212.57,88,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,36,A,Phillip Watson,"Cahokia, Ill.",1487,212.43,87,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,37,A,JR Raymond,"Clinton Twp., Mich.",1477,211.00,77,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,38,A,Matt Zweig,"Tempe, Ariz.",1476,210.86,76,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,39,A,Arturo Quintero,Mexico,1472,210.29,72,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,40,A,Benjamin Martinez,Guadalajara/ Mexico,1470,210.00,70,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,41,A,Ramsey Basurto,"Rancho Palos Verdes, Calif.",1463,209.00,63,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,42,A,Brad Miller,"Lees Summit, Mo.",1454,207.71,54,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,43,A,Jean Perez,Puerto Rico,1451,207.29,51,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,44,A,Isaac Rose,"Colorado Springs, Colo.",1448,206.86,48,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,45,A,Andrew Hall,"Westborough, Mass.",1447,206.71,47,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,46,A,Matt Kuba,"Minster, Ohio",1438,205.43,38,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,47,A,Peter Fox,"West Hartford, Conn.",1435,205.00,35,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,48,A,Ildemaro Ruiz,Venezuela,1433,204.71,33,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,49,A,Trevor Ashby,"Springfield, W. Va.",1432,204.57,32,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,50,A,Beau Peterson,"McPherson, Kan.",1425,203.57,25,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,51,A,Chris Sloan,Ireland,1416,202.29,16,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,52,A,William Svensson,Sweden,1415,202.14,15,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,53,A,Eric Jones,"Edmond, Okla.",1412,201.71,12,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,54,A,Johnathan Norman,"Houston, Texas",1405,200.71,5,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,55,A,Michael Davidson,"Versailles, Ohio",1397,199.57,-3,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,56,A,Sean Sadat,"Houston, Texas",1397,199.57,-3,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,57,A,Allex Zieg,"Placentia, Calif.",1396,199.43,-4,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,58,A,Nathan Ruest-Lajoie,"Témiscouata-Sur-Le-Lac, Quebec",1391,198.71,-9,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,59,A,Fero Williams,"Gardena, CA",1391,198.71,-9,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,60,A,Pete Vergos,"Apopka, Fla.",1391,198.71,-9,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,61,A,Alec Keplinger,"Angola, Ind.",1389,198.43,-11,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,62,A,Nate Purches,"Fond du Lac, Wis.",1388,198.29,-12,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,63,A,Thomas McNeal,"Seattle, Wash.",1382,197.43,-18,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,64,A,Hunter Kempton,"Buzzards Bay, Mass.",1368,195.43,-32,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,65,A,Tyler Widmeyer,"Beavercreek, Ohio",1363,194.71,-37,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,66,A,Darrel Ratliff,Monroe,1359,194.14,-41,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,67,A,Chris Delaney,"Frisco, Texas",1353,193.29,-47,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,68,A,Bailey Mavrick,"Peru, Ind.",1350,192.86,-50,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,69,A,Zach Newman,"Wabash, Ind.",1350,192.86,-50,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,70,A,Trey Brand,"Newcastle, Okla.",1350,192.86,-50,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,71,A,Brent Boho,"Colgate, Wis.",1349,192.71,-51,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,72,A,Ben Sobel,"New York, N.Y.",1333,190.43,-67,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,73,A,Antonio Vernon,"Cleveland, Ohio",1330,190.00,-70,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,74,A,David Mã¡rquez,"Toa Baja, Puerto Rico",1316,188.00,-84,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,75,A,Brandon Novak,"Chillicothe, Ohio",1306,186.57,-94,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,76,A,Austin Musselman,"Broken Arrow, Oklahoma",1270,181.43,-130,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,77,A,Brent Dowell,"Raymore, Mo.",1264,180.57,-136,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,78,A,Michael Schlabach,"Wakarusa, Ind.",1259,179.86,-141,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,79,A,Michael Jachcinski,"Camden, Mich.",1254,179.14,-146,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,80,A,Nathan Eaton,"McLoud, Okla.",1241,177.29,-159,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,81,A,Nathan Brantley,"Wichita, KS",1241,177.29,-159,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,82,A,Scott Lebeau,"Peyton, Colo.",1216,173.71,-184,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,83,A,Tim Fabella,"South Daytona, Fl",1200,171.43,-200,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,84,A,Kyle Michalosky,"Henderson, NV",1146,163.71,-254,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,85,A,Patrick Dimitt,Wichita,1137,162.43,-263,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,86,A,Jonathon Dean,"Casco, Mich.",1122,160.29,-278,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,PBA Players Championship PTQ presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Viper,39.0,,,87,A,Curtis Dorrell,Arkansas,1005,143.57,-395,,,
PBA Players Championship presented by Snickers,2024-01-09T12:00:00Z,2024-01-15T12:00:00Z,PBA Players Championship presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Wayne Webb,,,,1,,Bill O'Neill,"Langhorne, Pa.",,236.46,,'16-10-0',"7,500.00",100000.00
PBA Players Championship presented by Snickers,2024-01-09T12:00:00Z,2024-01-15T12:00:00Z,PBA Players Championship presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Wayne Webb,,,,2,,Tom Smallwood,"Saginaw, Mich.",,236.61,,'17-8-0',"4,500.00",55000.00
PBA Players Championship presented by Snickers,2024-01-09T12:00:00Z,2024-01-15T12:00:00Z,PBA Players Championship presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Wayne Webb,,,,3,,Ryan Barnes,"Denton, Texas",,234.16,,'16-11-0',0.00,35000.00
PBA Players Championship presented by Snickers,2024-01-09T12:00:00Z,2024-01-15T12:00:00Z,PBA Players Championship presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Wayne Webb,,,,4,,Nate Stubler,"LaSalle, Ill.",,235.57,,'14-11-0',"2,850.00",30000.00
PBA Players Championship presented by Snickers,2024-01-09T12:00:00Z,2024-01-15T12:00:00Z,PBA Players Championship presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Wayne Webb,,,,5,,Chris Via,"Springfield, Ohio",,234.98,,'12-13-0',"2,550.00",25000.00
PBA Players Championship presented by Snickers,2024-01-09T12:00:00Z,2024-01-15T12:00:00Z,PBA Players Championship presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Wayne Webb,,,,6,,Packy Hanrahan,"Wichita, Kan.",,232.38,,'16-8-0',"2,325.00",21000.00
PBA Players Championship presented by Snickers,2024-01-09T12:00:00Z,2024-01-15T12:00:00Z,PBA Players Championship presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Wayne Webb,,,,7,,BJ Moore,"Greensburg, Pa.",,235.10,,'11-12-1',"2,235.00",17000.00
PBA Players Championship presented by Snickers,2024-01-09T12:00:00Z,2024-01-15T12:00:00Z,PBA Players Championship presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Wayne Webb,,,,8,,Cristian Azcona,Puerto Rico,,234.02,,'12-12-0',"2,145.00",15000.00
PBA Players Championship presented by Snickers,2024-01-09T12:00:00Z,2024-01-15T12:00:00Z,PBA Players Championship presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Wayne Webb,,,,9,,Tim Gruendler,"St. Louis, Mo.",,231.54,,'15-9-0',"2,055.00",14000.00
PBA Players Championship presented by Snickers,2024-01-09T12:00:00Z,2024-01-15T12:00:00Z,PBA Players Championship presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Wayne Webb,,,,10,,Justin Knowles,"Okemos, Mich.",,233.40,,'12-12-0',"1,965.00",13000.00
PBA Players Championship presented by Snickers,2024-01-09T12:00:00Z,2024-01-15T12:00:00Z,PBA Players Championship presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Wayne Webb,,,,11,,Anthony Lavery-Spahr,"Pasadena, Texas",,234.48,,'9-15-0',"1,875.00",12000.00
PBA Players Championship presented by Snickers,2024-01-09T12:00:00Z,2024-01-15T12:00:00Z,PBA Players Championship presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Wayne Webb,,,,12,,Zach Wilkins,Canada,,231.58,,'13-11-0',"1,785.00",11000.00
PBA Players Championship presented by Snickers,2024-01-09T12:00:00Z,2024-01-15T12:00:00Z,PBA Players Championship presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Wayne Webb,,,,13,,Mitch Hupé,"Winnipeg, MB",,231.06,,'12-11-1',"1,695.00",10000.00
PBA Players Championship presented by Snickers,2024-01-09T12:00:00Z,2024-01-15T12:00:00Z,PBA Players Championship presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Wayne Webb,,,,14,,Graham Fach,"Urbana, Ohio",,231.67,,'11-13-0',"1,605.00",9500.00
PBA Players Championship presented by Snickers,2024-01-09T12:00:00Z,2024-01-15T12:00:00Z,PBA Players Championship presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Wayne Webb,,,,15,,"David ""Boog"" Krol","Nixa, Mo.",,230.58,,'12-11-1',"1,515.00",9000.00
PBA Players Championship presented by Snickers,2024-01-09T12:00:00Z,2024-01-15T12:00:00Z,PBA Players Championship presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Wayne Webb,,,,16,,Chris Barnes,"Denton, Texas",,229.31,,'13-10-1',"1,425.00",8500.00
PBA Players Championship presented by Snickers,2024-01-09T12:00:00Z,2024-01-15T12:00:00Z,PBA Players Championship presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Wayne Webb,,,,17,,EJ Tackett,"Bluffton, Ind.",,230.23,,'11-13-0',"1,335.00",8000.00
PBA Players Championship presented by Snickers,2024-01-09T12:00:00Z,2024-01-15T12:00:00Z,PBA Players Championship presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Wayne Webb,,,,18,,Keven Williams,"Roseville, CA",,227.90,,'13-11-0',"1,275.00",7500.00
PBA Players Championship presented by Snickers,2024-01-09T12:00:00Z,2024-01-15T12:00:00Z,PBA Players Championship presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Wayne Webb,,,,19,,David Northouse,"Bryon Center, Mich.",,227.08,,'13-10-1',"1,215.00",7000.00
PBA Players Championship presented by Snickers,2024-01-09T12:00:00Z,2024-01-15T12:00:00Z,PBA Players Championship presented by Snickers,3232 N Rock Rd Wichita KS 67226 United States,Wayne Webb,,,,20,,Frank Snodgrass,"Adrian, MI",,228.48,,'11-13-0',"1,155.00",6800.00
