tournament_name,start_date,end_date,center_name,center_location,pattern_name,pattern_length,pattern_volume,pattern_ratio,position,name,hometown,match_play_record,average,points,earnings,squad,score,+/-_200
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,31,Christopher Smith,"Palm Harbor, Fla.",'--',196.04,450,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,32,James McCleland,"Nokomis, Fla.",'--',195.75,430,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,33,Bradley Stewart,"Cape Coral, Fla.",'--',195.61,410,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,34,Jordan Bragg,"Casselberry, Fla.",'--',195.32,400,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,35,Bryant Crawford,"Augusta, Ga.",'--',194.39,390,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,36,Ashly Galante,"Palm Harbor, Fla.",'--',192.96,380,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,37,Kevin Fischer,"Winter Park, Fla.",'--',191.82,370,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,38,Zachary Seals,"Kingsland, Ga.",'--',189.11,360,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,39,Ed Campbell,"Pensacola, Fla.",'--',188.75,350,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,40,Austin Vogt,"Largo, Fla.",'--',188.57,340,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,41,Sean Connolly,"Apopka, Fla.",'--',187.86,330,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,42,Okito Kemp,"Beaufort, S.C.",'--',187.46,320,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,43,Jeremy Bobo,"Fruitland Park, Fla.",'--',187.29,310,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,44,Jacob House,"Dunedin, Fla.",'--',186.25,300,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,45,Chad Pratt,"Kingsland, Ga.",'--',186.04,290,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,46,Robert Greenberg,"Valrico, Fla.",'--',185.86,280,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,47,Kelly Lake,"East Palatka, Fla.",'--',185.21,270,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,48,Ted Wooley,"St. Augustine, Fla.",'--',181.54,260,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,49,Jonathan Hocsman,Argentina,'--',180.04,250,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,50,Trevor Kopas,"Tampa, Fla.",'--',176.93,240,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,51,Anthony Truscello,"Rockledge, Fla.",'--',176.32,230,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,52,Steven Grotowski,"Ft Lauderdale, Fla",'--',174.21,220,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,53,Austin Dombrowski,"Jasper,Ga",'--',173.46,210,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,54,Christopher Ekdahl,"Altamonte Springs, Fla.",'--',162.82,200,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,55,Joe Gadison Jr,"Orlando, Fla.",'--',173.5,190,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,56,Joey Urbino,"Hudson, Fla.",'--',170.5,180,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,1,Sean Rash,"Montgomery, Ill.",'1-0-0',228,"4,500.00",60000,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,2,Matt Russo,"Ballwin, Missouri",'3-1-0',223.28,"2,325.00",15000,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,3,AJ Johnson,"Oswego, Ill.",'0-1-0',227.9,"2,235.00",13000,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,4,EJ Tackett,"Bluffton, Ind.",'0-1-0',222.9,"2,145.00",11000,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,5,Bailey Mavrick,"Peru, Ind.",'0-1-0',220.93,"2,055.00",10000,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,6,Tom Smallwood,"Saginaw, Mich.",'--',220.04,"1,550.00",3500,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,7,Mitch Hupé,"Winnipeg, MB",'--',219.39,"1,490.00",2600,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,8,Kris Prather,"Plainfield, Ill.",'--',218.64,"1,430.00",2000,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,9,Zach Weidman,"Indianapolis, Ind.",'--',218.61,"1,370.00",1800,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,10,Tom Hess,"Granger, Iowa",'--',217.61,"1,280.00",1550,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,11,Ronnie Russell,"Noblesville, Ind.",'--',217.61,"1,280.00",1550,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,12,Mike Eaton Jr.,"Byron Center, Mich.",'--',216.79,"1,190.00",1400,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,13,Nick Kruml,"Downers Grove, Ill.",'--',215.93,"1,130.00",1350,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,14,Wes Malott,"Fort Wayne, Ind.",'--',215.5,"1,070.00",1300,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,15,Eugene McCune,"Munster, Ind.",'--',215.46,"1,010.00",1250,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,16,Kevin McCune,"Munster, Ind.",'--',214.64,950,1200,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,17,Scott Matthies,"Owosso, Mich.",'--',212.54,890,1150,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,18,Brenden Sramek,"Bettendorf, Iowa",'--',212.39,850,1100,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,19,Frank Snodgrass,"Adrian, MI",'--',211.39,810,1050,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,20,Jean Perez,Puerto Rico,'--',210.07,770,1000,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,21,Jeffrey Campbell,"Sioux Falls, S.D.",'--',209.25,730,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,22,Brent Boho,"Colgate, Wis.",'--',209.14,690,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,23,Mike Wolfe,"Floyds Knobs, Ind.",'--',208.89,650,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,24,Ryan Zagar,"Racine, Wis.",'--',208.79,610,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,25,Ryan Lakota,"Minster, Ohio",'--',208.71,570,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,26,Matt Gasn,"Sussex, WI",'--',207.71,550,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,27,Russ Oviatt,"Sioux Falls, S.D.",'--',207.57,530,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,28,JR Raymond,"Clinton Twp., Mich.",'--',207.43,510,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,29,Dakota Vostry,"Romeoville, Ill.",'--',207.36,490,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,30,Zac Tackett,"Huntington, Ind.",'--',205.75,470,100,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,31,Nick Pate,"Inver Grove Heights, Minn.",'--',204.93,450,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,32,Michael Schlabach,"Wakarusa, Ind.",'--',204.14,430,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,33,Will Clark,"Montgomery, Ill.",'--',202.5,410,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,34,Tim Mack,"Greenwood, Ind.",'--',202.21,400,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,35,Benjamin Martinez,Guadalajara/ Mexico,'--',200.93,390,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,36,Andrew Anderson,"Holly, Mich.",'--',200.75,380,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,37,Nathan Michalowski,"Mount Pleasant, Wis.",'--',199.79,370,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,38,James Rogers,"Waukegan, Ill.",'--',197.18,360,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,39,Nick DeCesaro,"Kenosha, Wis.",'--',196.46,350,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,40,Austin Koehler,"New Albany, Ind.",'--',196.25,340,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,41,Nate Purches,"Fond du Lac, Wis.",'--',195.75,0,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,42,Tyler Tornow,"Deer Grove, Ill.",'--',195.36,320,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,43,Quinton Bohlen,"Spillville, Iowa",'--',194.54,310,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,44,Randy Peterson,"Carrington, N.D.",'--',194.11,300,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,45,Justin O'Shaughnessy,"Jackson, Mich.",'--',194,290,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,46,Joseph Kruzel Jr,LOMBARD,'--',193.75,280,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,47,Phillip Watson,"Cahokia, Ill.",'--',193.14,270,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,48,Seth Lehman,"Crystal Lake, Ill.",'--',192.64,260,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,49,Mitchell Shumway,"Wauwatosa, Wisc.",'--',191.21,250,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,50,Justin Knowles,"Okemos, Mich.",'--',191.18,240,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,51,Zachary Kilbourne,"Lansing, Mich.",'--',189.96,230,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,52,Christopher Dower,"Cary, Ill.",'--',186.29,220,0,,,
PBA Players Championship - Midwest Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF West Lanes,7505 W. Oklahoma Ave Milwaukee WI 53219 United States,,,,,53,Derek Engeln,"Plainfield, Ill.",'--',185.32,210,0,,,
