tournament_name,start_date,end_date,center_name,center_location,pattern_name,pattern_length,pattern_volume,pattern_ratio,position,name,hometown,match_play_record,average,points,earnings,squad,score,+/-_200
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,1,Tommy Jones,"Simpsonville, S.C.",'1-0-0',234.79,"2,550.00",30000,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,2,Norm Duke,"Clermont, Fla.",'1-1-0',224.6,"2,325.00",15000,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,3,DJ Archer,"Louisville, Ky.",'2-1-0',217.96,"2,235.00",13000,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,4,David Stouffer,"Fort Myers, Fla.",'0-1-0',218.48,"2,145.00",11000,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,5,Toby Sambueno,"Apopka, FL",'0-1-0',217.93,"2,055.00",10100,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,6,Dick Allen,"Chapin, S.C.",'--',217.79,"1,550.00",3500,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,7,Mike Moore,"Orlando, Fla.",'--',215.82,"1,490.00",2600,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,8,Carlos Granados,Venezuela,'--',215.75,"1,430.00",2000,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,9,Tom Daugherty,"Riverview, Fla.",'--',215.68,"1,370.00",1800,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,10,Thomas Larsen,Denmark,'--',215.61,"1,310.00",1600,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,11,Colin Champion,"Pinellas Park, Fla.",'--',213.32,"1,250.00",1500,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,12,Trevor Roberts,"Crystal River, Fla.",'--',212.75,"1,190.00",1400,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,13,Bryan Hahlen,"Greenwood, S.C.",'--',211.71,"1,130.00",1300,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,14,Carlos Tobon,"Plantation, Fla.",'--',211.61,"1,070.00",1200,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,15,Amleto Monacelli,Venezuela,'--',210.82,"1,010.00",1250,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,16,Andres Gomez,"Davie, Fla.",'--',209.46,950,1100,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,17,Kenneth Ryan,"Maitland, Fla.",'--',209.36,890,1050,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,18,Cristian Azcona,Puerto Rico,'--',208.75,850,1000,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,19,Zachary Dwyer,"Ft. Walton Beach, Fla.",'--',208.25,810,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,20,Nate Garcia,"Port St. Lucie, Fla.",'--',206.71,770,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,21,Scott Newell,"Deland, Fla.",'--',205.82,730,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,22,Chris Arcaro,"Villa Rica, Ga.",'--',205.14,690,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,23,Kennon McFalls,"Gastonia, North Carolina",'--',204.71,650,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,24,Kim Bolleby,Sweden,'--',204.43,610,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,25,Ethan Fiore,"Tampa, Fla.",'--',202.96,560,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,26,Cody Mullis,"Crystal River, Fla.",'--',202.96,560,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,27,Kristijonas Sergejevas,"Kaunas, Lithuania",'--',201.96,530,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,28,Michael Patterson,"Canton, Ga.",'--',201.29,510,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,29,Josh Johnson,"Callahan, Fla.",'--',197.75,490,0,,,
PBA Players Championship - South Region Qualifier,2022-01-14T12:00:00Z,2022-01-16T12:00:00Z,AMF University Lanes,13109 N. 56th St. Tampa FL 33617 United States,,,,,30,Nicolas Abraham,"Merida, Mexico",'--',197.64,470,0,,,
